Timestamp,"Match ID (Quals-1, Elims-12 / Playoffs-12)",Alliance,Team #,Auto # Speaker Notes,Auto # Amp Notes,Mobility,# Speaker Notes,# Amp Notes,Endgame endpoint,DC,No show :(,Outcome,Can score trap?,NOTES ABOUT MATCH 
3/2/2024 19:35:29,Quals-5,Red,670,0,0,Success,7,4,Park,No DC,they showed up,Loss,,
3/2/2024 16:58:02,Quals 50,Blue,Blue holistic ,4,0,Success,7,1,Neither,No DC,they showed up,Loss,No,No hang at all but coopertition bonus
3/2/2024 11:40:04,Quals - 19,Blue,581,2,0,Success,7,0,Hang,No DC,they showed up,Win,,"Very fast cycles under the stage, and consistent shooting. They tried trap at the end but couldn’t get it in, and they had to try to climb twice, but it worked in the end."
3/2/2024 13:27:06,Qual-24,Blue,581,0,0,Success,7,0,Hang,No DC,they showed up,Win,,They could hang and trap also had very fast cycles 
3/2/2024 15:36:35,Qual 40,Red,668,0,0,Success,7,0,Hang,No DC,they showed up,Loss,No,About 19 sec cycles
3/2/2024 10:34:46,Quals-12,Blue,987,3,0,Success,7,0,Park,No DC,they showed up,Loss,,"Good, mostly accurate and consistent adjustable shooter, pretty good at cycling"
3/2/2024 9:20:57,Quals-3,Blue,2073,1,0,Success,7,0,Neither,No DC,they showed up,Loss,,
3/2/2024 17:15:10,Quals-52,Red,2473,0,0,Failure,7,0,Hang,No DC,they showed up,Win,No,didnt miss a single shot :0 
3/2/2024 14:48:02,qual34,Blue,4990,2,0,Success,7,0,Park,No DC,they showed up,Loss,No,We beat them
3/2/2024 15:25:09,Qual 39,Blue,7419,1,0,Success,7,0,Neither,No DC,they showed up,Loss,No,Indecisive driver 
3/2/2024 15:10:09,Qual 37,Red,987,1,0,Success,6,3,Neither,No DC,they showed up,Win,No,They were on fire this match fr
3/2/2024 13:56:04,Quals-27,Blue,1351,1,0,Success,6,2,Hang,No DC,they showed up,Loss,,"Great, great amp and speaker scorer. 1351 really dominated the game on the blue alliance and has a great design."
3/2/2024 9:30:05,Qual-4,Blue,581,3,0,Success,6,0,Hang,No DC,they showed up,Win,,"Scored 1 trap, scored higher than the other red team combined (33 - 31)"
3/2/2024 14:17:47,Qual 30,Red,1967,1,0,Success,6,0,Hang,No DC,they showed up,Win,,
3/2/2024 15:17:23,Quals 68,Red,1967,0,0,Failure,6,0,Park,No DC,they showed up,Loss,No,
3/2/2024 16:01:49,Quals-43,Red,2288,1,0,Success,6,0,Park,No DC,they showed up,Loss,No,"Relatively fast cycles, consistent shooting (offset from subwoofer)"
3/2/2024 10:46:27,Quals 13,Blue,9470,1,0,Success,6,0,Park,No DC,they showed up,Loss,,
3/2/2024 14:47:06,34,Red,604,1,0,Success,5,6,Park,No DC,they showed up,Win,No,So good
3/2/2024 10:26:43,Quals-11,Blue,670,1,0,Success,5,6,Park,No DC,they showed up,Win,,
3/2/2024 9:57:56,Quals-8,Blue,668,1,0,Success,5,0,Park,No DC,they showed up,Loss,,"Rarely went source, slow to align and inconsistent slow shooting"
3/2/2024 16:30:07,Quals-46,Red,670,0,0,Failure,5,0,Hang,No DC,they showed up,Win,No,
3/2/2024 13:13:53,Qual 22,Red,841,0,0,Success,5,0,Neither,No DC,they showed up,Loss,,sort of consistent and medium fast cycle times they smash into other robots 
3/2/2024 15:46:10,41,Blue,841,2,0,Success,5,0,Hang,No DC,they showed up,Win,No,"Aggressive and really aware driver - good intuition, speaker shooting not consistent, shot notes out of arena more than once"
3/2/2024 13:34:33,Quals 25,Red,972,0,0,Success,5,0,Hang,No DC,they showed up,Win,,Very good at maneuvering around obstacles
3/2/2024 9:44:56,Quals-6,Blue,987,3,0,Success,5,0,Neither,No DC,they showed up,Loss,,
3/2/2024 15:25:39,Quals-39,Red,1868,1,0,Failure,5,0,Park,No DC,they showed up,Win,No,"Inconsistent intake, and shoots ok"
3/2/2024 15:18:04,Qual 38,Red,1967,0,0,Failure,5,0,Park,No DC,they showed up,Loss,No,
3/2/2024 9:20:56,Qual 3,Blue,2073,2,0,Success,5,0,Neither,No DC,they showed up,Loss,,
3/2/2024 11:00:39,Qual 15,Red,2288,1,0,Success,5,0,Park,No DC,they showed up,Win,,"Little bit slow alignment, made half the shots it took"
3/2/2024 10:27:16,Quals-11,Blue,2473,0,0,Success,5,0,Park,No DC,they showed up,Win,,"Can only intake directly from source, can only shoot speaker"
3/2/2024 13:55:39,wuals-27,Red,2473,1,0,Success,5,0,Hang,No DC,they showed up,Win,,"basically kitbot plus a climb, definitelly could have scored one or two more cycles but were held back by defense, tall but not tippy, missed one shot into speaker, hangs very well (pretty far above ground)"
3/2/2024 14:56:52,Quals-35,Red,2473,1,0,Success,5,0,Hang,No DC,they showed up,Win,No,"Only missed one speaker note, does not seem to be able to ground intake so they might be blocked by source defense"
3/2/2024 9:45:11,Quals-7,Red,3859,1,0,Success,5,0,Hang,No DC,they showed up,Win,,Intake was a little inconsistent but their shooter was really consistent - however it was slow so they didn’t get they many cycles
3/2/2024 11:22:35,Quals-17,Red,5026,0,0,Success,5,0,Park,No DC,they showed up,Loss,,"smooth shooting, intaking was a lil slow but worked well"
3/2/2024 14:47:09,Quals-34,Blue,5026,1,0,Success,5,0,Neither,No DC,they showed up,Loss,No,
3/2/2024 9:50:36,Quals-7,Red,6238,0,0,Failure,5,0,Park,No DC,they showed up,Win,,"attempted and missed two speaker shots, didnt do amp, crashed into both stages while maneuvering "
3/2/2024 14:40:22,Quals-33,Blue,7413,0,0,Failure,5,0,Hang,No DC,they showed up,Win,No,
3/2/2024 16:51:03,Quals-49,Red,7413,1,0,Failure,5,0,Park,No DC,they showed up,Loss,No,"They have a really cool intake. It can probably do amp, trap, and speaker."
3/2/2024 11:10:37,Quals-16,Red,7419,0,0,Failure,5,0,Park,No DC,they showed up,Win,,missed 6 attempted speaker notes. intaking was smooth though.
3/2/2024 14:10:17,quals 29,Red,7419,0,0,Success,5,0,Neither,No DC,they showed up,Win,,pretty consistent but slowish cycles 
3/2/2024 17:15:09,52,Blue,8048,1,0,Success,5,0,Hang,No DC,they showed up,Loss,No,"Decently fast robot, better half of mid drivers, hangs fast"
3/2/2024 16:30:33,Qual 36,Blue,9125,0,0,Failure,5,0,Neither,No DC,they showed up,Loss,No,3256 laptop died rip 2024
3/2/2024 10:34:21,Quals 12,Red,1678,5,0,Success,4,6,Hang,No DC,they showed up,Win,,#1 most cracked team here. Cycles are like 7secs
3/2/2024 11:39:20,Qual 19,Red,670,0,0,Success,4,5,Neither,No DC,they showed up,Loss,,Fast amp
3/2/2024 15:02:50,Quals-36,Blue,670,0,0,Success,4,5,Park,No DC,they showed up,Loss,No,If they fix the auto(scored zero) pretty good team
3/2/2024 14:28:53,Quals-31,Blue,987,3,0,Success,4,4,Park,No DC,they showed up,Win,,Great scorer in amp and shooter.
3/2/2024 13:22:03,Quals-23,Red,2813,1,0,Success,4,4,Park,No DC,they showed up,Win,,Very versatile bot. Can score speaker and amp equally well and has a good driver too.
3/2/2024 15:02:50,Quals-36,Blue,670,1,0,Success,4,3,Park,No DC,they showed up,Loss,No,
3/2/2024 13:03:08,Qual 21,Blue,987,3,0,Success,4,2,Neither,No DC,they showed up,Win,,Missed 2 speaker. Driver not very decisive 
3/2/2024 13:35:36,Qual-25,Blue,8404,4,0,Success,4,2,Neither,No DC,they showed up,Loss,,"had good autos, in tele op they started off slow  but could score both amp and speaker w/ a semi consistent shooter"
3/2/2024 11:47:45,Qual 20,Red,604,5,0,Success,4,1,Park,No DC,they showed up,Loss,,They TIED
3/2/2024 17:07:30,Qual-51,Red,987,0,0,Failure,4,1,Hang,No DC,they showed up,Win,attempted,missed one attempted speaker but picked it up and tried again. verryyyy smooth intaking
3/2/2024 10:07:50,Quals-9,Blue,2288,1,0,Success,4,1,Hang,No DC,they showed up,Win,,
3/2/2024 16:36:06,Quals 47,Blue,Blue holistic ,1,0,Success,4,1,Hang,No DC,they showed up,Loss,No,Double hang but none scored a lot of points
3/2/2024 10:42:59,Qual-13,Red,841,0,0,Failure,4,0,Park,No DC,they showed up,Win,,poor communication with human player - leaving without notes. 
3/2/2024 14:56:47,Quals-35,Blue,841,0,0,Success,4,0,Hang,No DC,they showed up,Win,No,Pretty good cycle time
3/2/2024 11:22:06,Quals 17,Blue,1868,0,0,Failure,4,0,Park,No DC,they showed up,Win,,The initially didn’t move but then regained control
3/2/2024 10:27:08,qual 11,Blue,2473,1,0,Success,4,0,Park,No DC,they showed up,Win,,Good driver but inconsistent shooting
3/2/2024 9:45:05,Quals 6,Red,3859,0,0,Success,4,0,Park,No DC,they showed up,Win,,"3256, WE THE BEST, IN THE MIX (we played in this match :)"
3/2/2024 16:57:26,Qual 50,Blue,3859,2,0,Success,4,0,DC,Late Match: last half of teleop,they showed up,Loss,No,
3/2/2024 16:45:46,Quals 48,Blue,5026,0,0,Failure,4,0,Park,No DC,they showed up,Win,No,
3/2/2024 17:07:27,51,Blue,5026,1,0,Success,4,0,Neither,No DC,they showed up,Loss,No,Mid scorer
3/2/2024 10:08:46,Quals-9,Red,5104,0,0,Failure,4,0,Park,No DC,they showed up,Loss,,"Attempted amp but switched to speaker, once shot in the opposite direction of the speaker and the note flew across the field"
3/2/2024 14:40:39,qual 33,Blue,5104,1,0,Success,4,0,Hang,No DC,they showed up,Win,No,Missed at least half of their speaker shots.
3/2/2024 10:51:02,Quals 14,Red,6238,1,0,Success,4,0,Park,No DC,they showed up,Win,,
3/2/2024 13:05:31,Quals-21,Blue,6238,0,0,Failure,4,0,Neither,No DC,they showed up,Win,,
3/2/2024 13:27:28,Qual 24,Blue,6238,0,0,Failure,4,0,DC,Late Match: last half of teleop,they showed up,Win,,"pure scorers, missed a couple and then died after running into the stage"
3/2/2024 13:13:27,Quals-22,Red,7413,0,0,Failure,4,0,Park,No DC,they showed up,Loss,,
3/2/2024 16:51:13,qual 49,Red,7413,1,0,Failure,4,0,Park,No DC,they showed up,Loss,No,7413 - the team has a reliable intake and shooter but in the end the cycles just took way too long due to the other team playing defense 
3/2/2024 17:31:28,Quals-54,Blue,7419,0,0,Failure,4,0,Neither,No DC,they showed up,Win,No,
3/2/2024 10:34:44,Quals-12,Red,8048,0,0,Success,4,0,Hang,No DC,they showed up,Win,,"Their driving was slightly hesitant, both intaking and aligning to score"
3/2/2024 15:53:23,42,Blue,9504,1,0,Success,4,0,Park,No DC,they showed up,Loss,No,"Kitbot, tank drive, not fast cycle time, 4/5 shots on speaker made"
3/2/2024 13:27:09,Qual 24,Blue,604,4,0,Success,3,7,Park,No DC,they showed up,Win,,
3/2/2024 16:23:19,Qual 45,Red,987,1,0,Success,3,5,Neither,No DC,they showed up,Win,No,987 is a really solid team that can cycle both amp and speaker very quickly - their speaker is inconsistent compared to their amp. they have the best amp cycle in all the robots I’ve seen here - their amp cycles helped them win
3/2/2024 17:31:51,Quals-54,Blue,972,0,0,Success,3,4,Hang,No DC,they showed up,Win,No,"Cycled well even with source traffic, mostly went around the source, first amp pick please 🙏 "
3/2/2024 14:09:59,Quals-29,Blue,2073,1,0,Success,3,4,Hang,No DC,they showed up,Loss,,Pretty good at scoring both amp and speaker.
3/2/2024 13:20:55,Quals-23,Red,2813,0,0,Success,3,3,Park,No DC,they showed up,Win,,
3/2/2024 11:23:55,Quals-17,Blue,972,1,0,Success,3,2,Park,No DC,they showed up,Win,,They had pretty good cycles and were able to do speaker and amp without missing shots. Pretty fast and kinda has the cg of our robot. They also didn’t try to hang. I think they were most of the reason the alliance won because the other robots were either not moving or enabled for only half the match.
3/2/2024 15:18:22,Quals-38,Red,2073,1,0,Success,3,2,Hang,No DC,they showed up,Loss,No,"Nice team, can score from around the field."
3/2/2024 14:32:56,qual 32,Red,9470,0,0,Failure,3,2,Neither,No DC,they showed up,Win,,"consistent robot that uses tank drive - can score both amp and speaker 
"
3/2/2024 13:12:40,Qual 22,Blue,670,0,0,Success,3,1,Park,No DC,they showed up,Win,,Slow position for shooting. Struggled with ground intake (can directly intake into speaker shooting mechanism)
3/2/2024 17:10:27,Quals-51,Blue,670,0,0,Success,3,1,Park,No DC,they showed up,Loss,No,"They stopped toward beginning-middle for a while and I thought they dced but then they started moving again. Speaker accuracy was pretty bad, but amp was quick. Threw a note over the speaker in auto so idk. Might be an okay pick if we make it clear that they should stick to amp-only in both auto and tele-op"
3/2/2024 13:13:37,Quals-22,Red,841,0,0,Success,3,1,Park,No DC,they showed up,Loss,,Disconnecting on and off. Good speaker scorer.
3/2/2024 15:53:40,Qual 42,Blue,1351,1,0,Failure,3,1,Hang,No DC,they showed up,Loss,No,
3/2/2024 14:11:03,Qual 29,Red,3859,1,0,Failure,3,1,Hang,No DC,they showed up,Win,,Slow shooting
3/2/2024 14:25:51,qual 31,Red,192,1,0,Success,3,0,Hang,No DC,they showed up,Loss,,"refer to my notes for past 192 matches, more of the same"
3/2/2024 14:55:19,qual35,Blue,841,0,0,Success,3,0,Hang,No DC,they showed up,Win,No,Good driverr. Very fast robot. Missed half their speaker shots. Note got stuck in shooter halfway through teleop.
3/2/2024 10:00:08,Qual-4,Red,1967,0,0,Failure,3,0,Hang,No DC,they showed up,Win,,
3/2/2024 16:44:26,48,Blue,1967,0,0,Success,3,0,Park,No DC,they showed up,Win,No,"Didnt see most of it, data could be inaccurate "
3/2/2024 17:15:38,Quals-52,Blue,1967,0,0,Failure,3,0,Park,No DC,they showed up,Loss,No,Tried to climb at end (harmony) but fell because one hang arm was not on the chain
3/2/2024 16:22:45,Quals-45,Red,2813,0,0,Failure,3,0,Neither,No DC,they showed up,Win,No,Speaker-focused team.
3/2/2024 16:58:13,50,Blue,3189,1,0,Success,3,0,Park,No DC,they showed up,Loss,No,"Didnt see much of match, vision blocked "
3/2/2024 16:23:05,Qual 45,Blue,3859,1,0,Success,3,0,Park,No DC,they showed up,Loss,No,
3/2/2024 16:43:03,Qual-48,Blue,5026,0,0,Failure,3,0,Park,No DC,they showed up,Win,No,
3/2/2024 14:40:54,Quals-33,Blue,7413,0,0,Success,3,0,Hang,No DC,they showed up,Win,No,"Wasted time at source, 5 cycles "
3/2/2024 11:31:05,Qual 18,Blue,8048,0,0,Success,3,0,Hang,No DC,they showed up,Win,,Made 3/7 shots
3/2/2024 9:09:39,Quals-2,Red,9125,2,0,Success,3,0,Park,No DC,they showed up,Win,,
3/2/2024 15:44:58,Qual 41,Red,9125,1,0,Success,3,0,Park,No DC,they showed up,Loss,No,Tippy robot
3/2/2024 11:32:18,Qual 18,Blue,9470,0,0,Failure,3,0,DC,Late Match: last half of teleop,they showed up,Win,,Their intaking was inconsistent
3/2/2024 17:23:47,Quals-53,Red,9470,0,0,Failure,3,0,Park,No DC,they showed up,Win,No,"easily pushable drivetrain, missed speaker shot"
3/2/2024 10:20:26,Quals-10,Blue,9504,1,0,Failure,3,0,Park,No DC,they showed up,Win,,Very slow at aligning to speaker and also cycling to source
3/2/2024 19:33:32,Quals-4,Red,1967,0,0,Failure,3,0,Hang,No DC,they showed up,Loss,,
3/2/2024 9:38:23,Qual 5,Blue,604,2,0,Success,2,7,Park,No DC,they showed up,Win,,"Really consistent and fast with amp, got like 7-8 cycles with amp, really fast intake, speaker alignment is kind of bad, about 3 cycles for speaker (including auto) but missed 2"
3/2/2024 16:36:25,Quals 47,Red,581,3,0,Success,2,6,Hang,No DC,they showed up,Win,Success,"they cycled amp for a while and then they alternated between amp and speaker, they can do trap and speaker"
3/2/2024 11:48:51,Quals-20,Blue,1678,4,0,Success,2,6,Hang,No DC,they showed up,Loss,,"It was a tie, but I put a loss because they had less RP than the other alliance. They had very very nice amp and speaker cycles, very fast. They tried climb but had to try again, AND GOT TRAP 🧑‍🍳."
3/2/2024 15:45:03,Qual-41,Red,972,0,0,Success,2,5,Hang,No DC,they showed up,Loss,No,"intaking was smooth, auto attempted speaker but didnt make any"
3/2/2024 14:40:26,Quals-33,Blue,100,3,0,Success,2,4,Park,No DC,they showed up,Win,No,"Both speaker and amp, mostly aligns well for amp"
3/2/2024 9:21:15,Quals-3,Red,1351,0,0,Success,2,4,Park,No DC,they showed up,Win,,
3/2/2024 14:25:10,Qual 31,Blue,987,2,0,Success,2,3,Park,No DC,they showed up,Win,,
3/2/2024 16:22:56,Quals-45,Blue,1351,1,0,Success,2,2,Hang,No DC,they showed up,Loss,No,
3/2/2024 9:09:54,Quals-2,Red,2367,0,0,Success,2,2,Neither,No DC,they showed up,Win,,
3/2/2024 10:27:33,Quals-11,Red,3859,0,0,Success,2,2,Park,No DC,they showed up,Loss,,attemted hang
3/2/2024 10:08:12,Quals-9,Red,2813,0,0,Success,2,1,Park,No DC,they showed up,Win,,"struggled to intake notes from ground, missed one attempted amp shot, did some defense around speaker"
3/2/2024 10:51:38,Quals -14,Blue,3189,1,0,Failure,2,1,Park,No DC,they showed up,Win,,"They are very inconsistent with scoring, missed multiple times before each shot, in speaker or amp. They were also very jerky and didn’t have very fast cycles- got clogged at the source."
3/2/2024 15:25:42,38,Blue,6348,1,0,Success,2,1,Park,No DC,they showed up,Loss,No,Not good
3/2/2024 16:23:00,Quals-45,Red,668,0,0,Failure,2,0,Neither,No DC,they showed up,Win,No,"Bothered by a good defense, talks time to shoot speaker "
3/2/2024 13:37:10,Quals-25,Red,987,2,0,Success,2,0,Park,No DC,they showed up,Win,,"This shooter is good, unfortunately there was a lot of hesitation with shooting into the speaker."
3/2/2024 9:20:57,Quals 3,Red,2473,1,0,Success,2,0,Hang,Mid Match: somewhere middle of teleop,they showed up,Win,,
3/2/2024 11:22:10,Qual 17,Blue,2473,0,0,Success,2,0,DC,Late Match: last half of teleop,they showed up,Win,,
3/2/2024 15:17:23,Quals-38,Blue,3189,1,0,Failure,2,0,Neither,No DC,they showed up,Win,No,
3/2/2024 15:03:09,Quals-36,Red,3859,1,0,Success,2,0,Park,No DC,they showed up,Win,No,
3/2/2024 10:51:03,Qual 14,Blue,5026,0,0,Success,2,0,Neither,No DC,they showed up,Win,,
3/2/2024 14:48:43,Quals-34,Blue,5026,1,0,Success,2,0,Neither,No DC,they showed up,Loss,No,"3-4 cycles, slow cycles "
3/2/2024 15:10:30,Quals-37,Red,5026,0,0,Success,2,0,Park,No DC,they showed up,Win,No,Stuttering driving during the second half of match.
3/2/2024 14:03:44,quals-28,Red,5104,1,0,Success,2,0,Hang,No DC,they showed up,Win,,"they shot speaker a ton of times without alignment and missed al of them but if they could aim properly theh can probably do a good 6-7 cycles into speaker. kind of slow, intakes from ground"
3/2/2024 15:36:41,Quals-40,Red,6238,1,0,Failure,2,0,Park,No DC,they showed up,Loss,No,"Very inconsistent shooter, unreliable intake"
3/2/2024 16:50:31,Qual-49,Blue,6348,0,0,Success,2,0,Park,No DC,they showed up,Win,No,
3/2/2024 11:00:07,Qual 15,Blue,7413,0,0,Failure,2,0,Hang,No DC,they showed up,Loss,,
3/2/2024 10:20:28,Quals-10,Red,9114,0,0,Success,2,0,Hang,No DC,they showed up,Loss,,"missed one attempted speaker shot, note got stuck mid teleop and hung early"
3/2/2024 13:41:46,Quals-26,Red,9114,0,0,Success,2,0,Hang,No DC,they showed up,Loss,,
3/2/2024 16:36:01,47,Blue,9114,1,0,Success,2,0,Hang,No DC,they showed up,Loss,No,Okay robot overall
3/2/2024 17:14:57,Quals-52,Blue,9125,1,0,Success,2,0,DC,Early Match: Auto / opening seconds of teleop,they showed up,Loss,No,
3/2/2024 14:25:48,Qual 31,Red,9504,0,0,Failure,2,0,Park,No DC,they showed up,Loss,,Basically just kitbot
3/2/2024 19:39:10,Quals-15,Red,668,0,0,Failure,2,0,Park,No DC,they showed up,Win,,inconsistent shooter
3/2/2024 11:42:35,Quals 19,Blue,1351,0,0,Failure,1,5,Hang,No DC,they showed up,Win,,"Not bad, primarily went for amp"
3/2/2024 10:51:03,Qual 14,Red,100,0,0,Failure,1,4,Hang,No DC,they showed up,Loss,,"Little bit slow with alignment but pretty consistent amp and ok consistency with speaker, I think they were planning to do trap but had no time"
3/2/2024 16:01:36,43,Blue,2073,1,0,Failure,1,3,Neither,No DC,they showed up,Win,No,"Handoff is shaky, not consistent shooter"
3/2/2024 9:30:11,Quals-4,Red,2288,2,0,Success,1,3,Park,No DC,they showed up,Loss,,"took a long time to align at amp, missed attempted speaker shot"
3/2/2024 14:32:46,Qual 32,Red,2288,2,0,Success,1,3,Park,No DC,they showed up,Win,,Last half of match played solid defense 
3/2/2024 14:55:19,35,Red,2813,0,0,Success,1,3,Park,No DC,they showed up,Loss,No,"Amp is good, auto and speaker really inconsistent "
3/2/2024 16:09:46,Quals-44,Red,5104,1,0,Success,1,3,Park,No DC,they showed up,Loss,No,"Note got stuck in feeder, can score both amp and shoot speaker but amp is slow and inconsistent"
3/2/2024 13:03:47,Quals-21,Red,192,1,1,Success,1,2,Hang,No DC,they showed up,Loss,,192 had very rash driving and lots of amp note placement issues. Struggled with amp but it's their main scoring method.
3/2/2024 13:54:40,Qual 27,Blue,192,1,0,Success,1,2,Hang,No DC,they showed up,Win,,can do both amp and shooter but slow cycles and sometimes is not accurate
3/2/2024 13:12:44,Quals-22,Blue,670,0,0,Success,1,2,Park,No DC,they showed up,Win,,
3/2/2024 9:28:10,Quals-4,Red,2288,0,2,Success,1,2,Park,No DC,they showed up,Loss,,"Their driving is really erratic, but they can score both amp and speaker."
3/2/2024 14:33:16,Qual 32,Blue,2367,0,0,Failure,1,2,Neither,No DC,they showed up,Loss,,
3/2/2024 13:30:50,Quals 24,Red,2367,1,0,Success,1,1,Park,No DC,they showed up,Loss,,Tried to hang but couldn’t lift itself off the ground
3/2/2024 13:55:28,Qual 27,Blue,192,1,0,Success,1,0,Hang,No DC,they showed up,Loss,,
3/2/2024 17:32:04,54,Blue,668,0,0,Success,1,0,Neither,No DC,they showed up,Loss,No,Played defense - was mid at it
3/2/2024 11:11:15,Qual 16,Blue,841,1,0,Success,1,0,Park,No DC,they showed up,Loss,,Their speaker scoring was very incosistent (they tried for 5 and only scored 1).
3/2/2024 9:30:17,Quals 4,Red,972,0,0,Success,1,0,Park,No DC,they showed up,Loss,,972 clearly had some trouble with their shooter it was either hit shooting at all or it was going way too short their cycles also were really long
3/2/2024 16:02:44,Qual 43,Blue,1868,0,0,Failure,1,0,Neither,No DC,they showed up,Win,No,"Driver was very hesitant, spun around as if the sensitivity was high. "
3/2/2024 10:44:28,Quals-13,Blue,1967,0,0,Failure,1,0,Park,No DC,they showed up,Loss,,"Intake broke early on, tried to hang but didn’t hold on"
3/2/2024 11:31:42,Quals-18,Red,2035,0,0,Failure,1,0,Park,No DC,they showed up,Loss,,"attempted and missed a shot, i didnt see notes scored early in teleop and rhey might have had a note stuck? also poor human player communication"
3/2/2024 14:03:42,Qual 28,Blue,2035,0,0,Failure,1,0,Park,No DC,they showed up,Loss,,
3/2/2024 11:48:32,Qual 20,Blue,2813,0,0,Failure,1,0,Park,No DC,they showed up,Win,,Got a note stuck in intake [also there was a tie ignore me selecting win]
3/2/2024 13:41:48,Qual 26,Blue,3008,DC,0,Success,1,0,Neither,No DC,they showed up,Win,,no dc and decent defense but that was about it
3/2/2024 14:40:50,33,Red,3008,1,0,Failure,1,0,Park,No DC,no show,Loss,No,Not good (set shooter angle doesnt work)
3/2/2024 11:38:13,Quals-19,Red,3189,0,0,Success,1,0,Park,No DC,they showed up,Loss,,"struggled to intake a little but good communication, robot is kinda tippy and movement wasnt super confident"
3/2/2024 9:30:12,Quals-4,Blue,3309,0,0,Success,1,0,Park,No DC,they showed up,Win,,Waste a lot of time intaking at source resulted only 2 cycles 
3/2/2024 9:09:33,Quals-2,Red,5026,1,0,Success,1,0,Park,No DC,they showed up,Win,,
3/2/2024 15:03:20,36,Blue,5104,0,0,Success,1,0,Park,No DC,they showed up,Loss,No,Very good driving. However robot takes super long to shoot into speaker which blocks alliance teammates. They also miss
3/2/2024 14:41:39,Quals-33,Red,6348,1,0,Success,1,0,Park,No DC,they showed up,Loss,No,Missed a lot of speaker shots.
